fecha_consulta,origen,destino,region,fecha_vuelo,precio_min
2026-09-10 00:22:47.886819,BUE,SCL,América,2026-10-10,171
2026-09-10 00:22:51.069378,BUE,SCL,América,2026-11-09,172
2026-09-10 00:22:54.073832,BUE,SCL,América,2026-12-09,148
2026-09-10 00:22:58.238415,BUE,SCL,América,2027-01-08,162
2026-09-10 00:23:03.222920,BUE,LIM,América,2026-10-10,295
2026-09-10 00:23:07.119560,BUE,LIM,América,2026-11-09,246
2026-09-10 00:23:14.086446,BUE,LIM,América,2027-01-08,277
2026-09-10 00:23:17.167801,BUE,BOG,América,2026-10-10,629
2026-09-10 00:23:21.379532,BUE,BOG,América,2026-11-09,283
2026-09-10 00:23:24.311429,BUE,BOG,América,2026-12-09,298
2026-09-10 00:23:28.352549,BUE,BOG,América,2027-01-08,408
2026-09-10 00:23:32.087289,BUE,MEX,América,2026-10-10,786
2026-09-10 00:23:35.312992,BUE,MEX,América,2026-11-09,655
2026-09-10 00:23:38.391778,BUE,MEX,América,2026-12-09,475
2026-09-10 00:23:41.948913,BUE,MEX,América,2027-01-08,1151
2026-09-10 00:23:46.146009,BUE,MAD,Europa,2026-10-10,801
2026-09-10 00:23:49.938700,BUE,MAD,Europa,2026-11-09,727
2026-09-10 00:23:53.335961,BUE,MAD,Europa,2026-12-09,703
2026-09-10 00:23:56.548757,BUE,MAD,Europa,2027-01-08,1294
2026-09-10 00:24:00.691437,BUE,BCN,Europa,2026-10-10,535
2026-09-10 00:24:03.608216,BUE,BCN,Europa,2026-11-09,443
2026-09-10 00:24:06.624665,BUE,BCN,Europa,2026-12-09,598
2026-09-10 00:24:11.003834,BUE,BCN,Europa,2027-01-08,1641
2026-09-10 00:24:13.851355,BUE,LIS,Europa,2026-10-10,658
2026-09-10 00:24:18.014660,BUE,LIS,Europa,2026-11-09,472
2026-09-10 00:24:21.913452,BUE,LIS,Europa,2026-12-09,627
2026-09-10 00:24:24.748396,BUE,LIS,Europa,2027-01-08,1765
2026-09-10 00:24:31.249666,BUE,ROM,Europa,2026-11-09,478
2026-09-10 00:24:35.651215,BUE,ROM,Europa,2026-12-09,640
2026-09-10 00:24:40.073635,BUE,ROM,Europa,2027-01-08,1843
2026-09-10 00:24:45.470782,BUE,PAR,Europa,2026-10-10,581
2026-09-10 00:24:51.188918,BUE,PAR,Europa,2026-11-09,503
2026-09-10 00:24:55.931633,BUE,PAR,Europa,2026-12-09,633
2026-09-10 00:25:01.116856,BUE,PAR,Europa,2027-01-08,1606
2026-09-10 00:25:08.744291,BUE,LON,Europa,2026-11-09,472
